# DAUGHTER VS RLS BY REJUVENATION
# original file "wt_decCap_noRe_3gen_perturbed.txt" 
# initSize	totGrowth	rejuvenation
0.79107102	3.1232	0.8834
0.77039496	3.1439	0.7785
0.72649024	3.3696	0.7785
0.7775422399999999	3.3543	0.7785
0.75712144	3.3587	0.7785
0.8229785199999999	3.2307	0.7785
0.81889436	2.9812	0.7768
0.83880464	3.1554	0.7768
0.80536558	3.0794	0.7768
0.81149182	3.1525	0.7768
0.7469110400000001	3.2931	0.773
0.7670765799999999	3.1815	0.773
0.78086062	3.1378	0.773
0.74869786	3.3055	0.773
0.8436545799999999	2.9656	0.773
0.77805276	3.2362	0.773
0.81634176	3.1284	0.773
0.82221274	3.24	0.773
0.7964314800000001	3.3098	0.773
0.7744791200000001	3.3751	0.7726
0.78953946	3.1816	0.7726
0.7670765799999999	3.3313	0.7726
0.8191496199999999	3.1836	0.7726
0.76324768	3.411	0.7726
0.84569666	2.8662	0.7726
0.7775422399999999	3.1007	0.7726
0.7732028200000001	3.2495	0.7686
0.77601068	3.2295	0.7686
0.74257162	3.3373	0.7686
0.7994946	3.1206	0.7686
0.76299242	3.2133	0.7686
0.74231636	3.5172	0.7686
0.77805276	3.3129	0.767
0.75712144	3.4268	0.767
0.76580028	3.4162	0.767
0.77422386	3.2325	0.767
0.77958432	3.0978	0.767
0.7509952	3.2578	0.767
0.76784236	3.348	0.7609
0.74180584	3.5922	0.7609
0.796942	3.1985	0.7609
0.7652897599999999	3.1573	0.7604
0.74512422	3.3179	0.7604
0.7178114	3.3754	0.7604
0.75405832	3.4035	0.7604
0.78443426	3.3672	0.7604
0.83293366	2.9777	0.7604
0.74665578	3.5246	0.7586
0.7688634	3.1972	0.7586
0.80128142	3.0766	0.7586
0.77473438	3.141	0.7586
0.7816263999999999	3.2063	0.7586
0.8173628	3.0643	0.7586
0.7675871	3.3783	0.7586
0.7857105600000001	3.0812	0.7586
0.78494478	3.2505	0.7572
0.77601068	3.1981	0.7572
0.8242548199999999	3.055	0.7572
0.7262349800000001	3.5119	0.7572
0.758653	3.185	0.7572
0.8071523999999999	3.3491	0.7572
0.81532072	2.9761	0.7572
0.771416	3.2764	0.6488
0.8063866199999999	3.1049	0.6488
0.7890289399999999	3.1236	0.6488
0.76222664	3.2544	0.6488
0.78622108	3.1611	0.6488
0.7752449	3.4329	0.6488
0.73031914	3.4369	0.6488
0.7356796	3.4813	0.6488
0.77932906	3.2806	0.6488
0.7601845599999999	3.3894	0.6488
0.76477924	3.2236	0.6488
0.7872421199999999	3.0863	0.6488
0.8165970199999999	2.9841	0.6488
0.81047078	3.0952	0.6488
0.8543755	3.1204	0.6488
0.8265521600000001	2.9564	0.6488
0.73593486	3.3556	0.6474
0.75788722	3.3791	0.6474
0.8091944799999999	3.0172	0.6474
0.83625204	3.108	0.6474
0.77294756	3.1692	0.6474
0.8186391	2.9665	0.6474
0.81940488	3.0674	0.6474
0.75176098	3.3219	0.6474
0.72189556	3.3666	0.6441
0.7867316	3.3467	0.6441
0.73261648	3.5771	0.6441
0.7525267600000001	3.3481	0.6441
0.78086062	3.1096	0.6441
0.7589082599999999	3.2633	0.6441
0.7484426	3.2922	0.6441
0.78213692	3.1439	0.6441
0.83472048	3.0128	0.6441
0.71985348	3.4279	0.6439
0.83752834	3.0208	0.6439
0.7627371599999999	3.2596	0.6439
0.7471663	3.2715	0.6439
0.76452398	3.2864	0.6439
0.79796304	3.2149	0.6439
0.7624819	3.3193	0.6439
0.8191496199999999	3.1428	0.6439
0.7637582	3.1924	0.6439
0.81557598	3.0867	0.6439
0.7770317200000001	3.1756	0.6405
0.76426872	3.2911	0.6405
0.7395084999999999	3.4604	0.6405
0.76350294	3.3237	0.6405
0.77677646	3.1551	0.6405
0.7502294199999999	3.3397	0.6405
0.7599293	3.2579	0.6405
0.7864763399999999	3.1284	0.6391
0.8058760999999999	3.0076	0.6391
0.7430821400000001	3.4242	0.6391
0.8242548199999999	3.1067	0.6391
0.78520004	3.1103	0.6391
0.81710754	3.2569	0.6391
0.75431358	3.2072	0.6391
0.72649024	3.3293	0.6391
0.79362362	3.0938	0.6391
0.7561004	3.3913	0.6391
0.7726923	3.2556	0.6341
0.80383402	3.194	0.6341
0.80434454	3.1641	0.6341
0.82936002	3.0157	0.6341
0.7157693199999999	3.4486	0.6341
