# DAUGHTER VS RLS BY REJUVENATION
# original file "wt_decCap_noRe_3gen_perturbed.txt" 
# genT	cycleGrowth	rejuvenation
1.5424	1.5998	0.5151
1.516	1.5986	0.5151
1.5719	1.6176	0.5151
1.5129	1.604	0.5151
1.5172	1.6125	0.5151
1.4927	1.6045	0.5151
1.5341	1.6	0.5151
1.5779	1.6143	0.5151
1.4597	1.6031	0.5151
1.5011	1.6056	0.5151
1.5757	1.6099	0.5151
1.5106	1.6057	0.5151
1.4581	1.5984	0.5151
1.5191	1.6122	0.5151
1.4861	1.6006	0.5151
1.5506	1.6054	0.5151
1.5979	1.6122	0.5151
1.6224	1.6087	0.5151
1.6219	1.6125	0.5151
1.4556	1.5987	0.5124
1.5225	1.6043	0.5124
1.4478	1.6	0.5124
1.502	1.6063	0.5124
1.5353	1.608	0.5124
1.5286	1.6046	0.5124
1.4732	1.6012	0.5124
1.5144	1.5994	0.5124
1.5886	1.6164	0.5124
1.5111	1.5985	0.5124
1.5546	1.6078	0.5124
1.4245	1.5998	0.5124
1.4242	1.5973	0.5124
1.4642	1.6017	0.5124
1.5535	1.6086	0.5124
1.4206	1.5965	0.5124
1.4416	1.602	0.5124
1.4966	1.6097	0.5124
1.496	1.6012	0.5124
1.7031	1.6311	0.5124
1.5452	1.609	0.5124
1.5217	1.6124	0.5124
1.4833	1.6031	0.5124
1.5604	1.6072	0.5124
1.6326	1.6173	0.5124
1.5584	1.6058	0.5124
1.5275	1.6059	0.5124
1.6096	1.6152	0.5124
1.6497	1.6181	0.5124
1.487	1.599	0.5113
1.5153	1.6069	0.5113
1.4643	1.5999	0.5113
1.4567	1.5957	0.5113
1.5307	1.6108	0.5113
1.4865	1.6037	0.5113
1.5536	1.6141	0.5113
1.6105	1.6114	0.5113
1.5242	1.6	0.5113
1.5106	1.5994	0.5113
1.616	1.6162	0.5113
1.642	1.6083	0.5113
1.6228	1.6116	0.5113
1.4795	1.6043	0.5113
1.5564	1.6105	0.5113
1.5825	1.6158	0.5113
1.4756	1.6044	0.5113
1.5227	1.6073	0.5113
1.4738	1.6015	0.5113
1.5399	1.6079	0.5113
1.5329	1.6039	0.5113
1.5285	1.6041	0.5073
1.6049	1.6092	0.5073
1.4957	1.5932	0.5073
1.4508	1.6036	0.5073
1.5021	1.5932	0.5073
1.4623	1.6009	0.5073
1.4731	1.5998	0.5073
1.5842	1.6201	0.5073
1.5519	1.6088	0.5073
1.46	1.6017	0.5073
1.4962	1.6005	0.5073
1.594	1.5988	0.5073
1.6661	1.6154	0.5073
1.461	1.6031	0.5073
1.5041	1.6078	0.5073
1.5336	1.6073	0.5073
1.5271	1.6086	0.5073
1.6072	1.6145	0.5073
1.5018	1.5999	0.5073
1.4992	1.6071	0.5073
1.5277	1.5982	0.5073
1.5298	1.6048	0.5073
1.5276	1.6041	0.5073
1.6052	1.6132	0.5073
1.4646	1.5967	0.5069
1.4839	1.6008	0.5069
1.6149	1.6215	0.5069
1.4962	1.6115	0.5069
1.524	1.6036	0.5069
1.4524	1.6009	0.5069
1.4858	1.6031	0.5069
1.5065	1.6055	0.5069
1.5323	1.6118	0.5069
1.5114	1.6053	0.5069
1.5465	1.6033	0.5069
1.5633	1.6055	0.5069
