# RLS IN LINEAGE
# original file "wt_decCap_noRe_3gen_perturbed.txt" 
# mother	daughter	rlsMean	rlsStd
6.0	8.0	5.3076923076923075	2.37939876051461
6.0	9.0	4.5	2.1760730956581074
6.0	10.0	4.3	1.5670212364724212
6.0	11.0	4.5	2.345207879911715
6.0	12.0	4.0	2.0
6.0	13.0	NaN	NaN
6.0	14.0	NaN	NaN
6.0	15.0	NaN	NaN
7.0	1.0	9.779661016949152	2.871187406716706
7.0	2.0	8.53448275862069	2.1210351431894963
7.0	3.0	8.090909090909092	2.3670009722629186
7.0	4.0	6.730769230769231	2.1703472624948765
7.0	5.0	6.733333333333333	2.1888145400899304
7.0	6.0	6.025	2.2473631272317847
7.0	7.0	4.606060606060606	1.7842959735459027
7.0	8.0	4.6	2.5628931020687498
7.0	9.0	4.181818181818182	2.4420557658735733
7.0	10.0	5.0	2.5495097567963922
7.0	11.0	5.0	2.0
7.0	12.0	3.5	0.7071067811865476
7.0	13.0	NaN	NaN
8.0	1.0	8.854166666666666	1.8217315042999243
8.0	2.0	8.354166666666666	2.338298921004676
8.0	3.0	7.543478260869565	2.4009861098134047
8.0	4.0	6.658536585365853	1.86560655146739
8.0	5.0	5.837837837837838	2.06173488857097
8.0	6.0	5.310344827586207	2.3619521023911867
8.0	7.0	4.333333333333333	1.591644851508443
8.0	8.0	3.357142857142857	1.6458405781822274
8.0	9.0	4.75	2.217355782608345
8.0	10.0	NaN	NaN
8.0	11.0	NaN	NaN
8.0	12.0	NaN	NaN
8.0	13.0	NaN	NaN
9.0	1.0	8.27027027027027	3.167970333831432
9.0	2.0	7.25	2.3467302480564007
9.0	3.0	6.818181818181818	2.429693209215742
9.0	4.0	5.827586206896552	2.592144251900364
9.0	5.0	5.166666666666667	2.7452198243597854
9.0	6.0	5.461538461538462	1.39136531360295
9.0	7.0	3.6	1.776388345929897
9.0	8.0	2.6666666666666665	0.5163977794943222
9.0	9.0	NaN	NaN
10.0	1.0	8.0	2.340568492816482
10.0	2.0	6.416666666666667	2.2246966899599685
10.0	3.0	6.142857142857143	3.086838419576157
10.0	4.0	6.733333333333333	3.1728010758108782
10.0	5.0	5.545454545454546	1.8635254955935734
10.0	6.0	6.166666666666667	1.1690451944500122
10.0	7.0	6.2	2.7748873851023217
10.0	8.0	6.0	0.0
10.0	9.0	2.6666666666666665	0.5773502691896258
11.0	1.0	8.090909090909092	1.7580981459830651
11.0	2.0	7.909090909090909	2.809076198843508
11.0	3.0	6.363636363636363	2.8025961989814827
11.0	4.0	7.0	1.6903085094570331
11.0	5.0	6.571428571428571	1.397276262011544
11.0	6.0	5.142857142857143	3.8483144114694956
11.0	7.0	4.0	2.160246899469287
11.0	8.0	NaN	NaN
11.0	9.0	NaN	NaN
12.0	1.0	7.625	1.7677669529663689
12.0	2.0	6.0	2.32992949004287
12.0	3.0	6.0	1.6733200530681511
12.0	4.0	6.6	3.361547262794322
12.0	5.0	3.0	0.0
12.0	6.0	NaN	NaN
13.0	1.0	6.333333333333333	2.8751811537130436
13.0	2.0	5.166666666666667	2.401388487243717
13.0	3.0	4.333333333333333	2.0816659994661326
13.0	4.0	NaN	NaN
14.0	1.0	NaN	NaN
14.0	2.0	NaN	NaN
14.0	3.0	NaN	NaN
14.0	4.0	NaN	NaN
