# INITIAL DAMAGE IN LINEAGE
# original file "wt_decCap_noRe_3gen_perturbed.txt" 
# mother	daughter	initDMean	initDStd
3.0	4.0	0.1614048780487805	0.01068029109557314
3.0	5.0	0.16703086419753088	0.012176921223931242
3.0	6.0	0.17247402597402595	0.014214988407324472
3.0	7.0	0.17779166666666668	0.014539346809048982
3.0	8.0	0.18359538461538463	0.014242239452255553
3.0	9.0	0.18919811320754717	0.015745542599611115
3.0	10.0	0.19519512195121946	0.014601865483894721
3.0	11.0	0.19718181818181818	0.01668668235346283
3.0	12.0	0.2007142857142857	0.015758751275346712
3.0	13.0	0.2062	0.015405472126117111
3.0	14.0	0.20086666666666667	0.0074567642669815795
3.0	15.0	NaN	NaN
4.0	1.0	0.15063333333333334	0.01170528726687218
4.0	2.0	0.15543750000000003	0.011443204550288646
4.0	3.0	0.16177124999999998	0.015504055767868114
4.0	4.0	0.16565454545454547	0.012608837183484337
4.0	5.0	0.17184400000000002	0.014610013596752649
4.0	6.0	0.1782257142857143	0.0175066420994531
4.0	7.0	0.17981929824561407	0.013899491750683488
4.0	8.0	0.18671568627450982	0.016003866689634973
4.0	9.0	0.1903315789473684	0.015848098279010212
4.0	10.0	0.19771	0.016911133855417915
4.0	11.0	0.199975	0.020299901477593432
4.0	12.0	0.19649	0.0064936635781865605
4.0	13.0	0.212975	0.009915175958383916
4.0	14.0	NaN	NaN
5.0	1.0	0.1532973333333333	0.010124361485817045
5.0	2.0	0.158984	0.01139676388397281
5.0	3.0	0.16472567567567567	0.012903106356486312
5.0	4.0	0.16990000000000002	0.01290346575813756
5.0	5.0	0.17620147058823532	0.013941546335432186
5.0	6.0	0.1827460317460317	0.013500702794094082
5.0	7.0	0.19002692307692307	0.01596301012678036
5.0	8.0	0.19562222222222223	0.016942610881799283
5.0	9.0	0.19874761904761906	0.015606941373876531
5.0	10.0	0.20417272727272728	0.01923783204569012
5.0	11.0	0.194675	0.019036346813398834
5.0	12.0	0.20903333333333332	0.034630381651569085
5.0	13.0	NaN	NaN
5.0	14.0	NaN	NaN
5.0	15.0	NaN	NaN
5.0	16.0	NaN	NaN
6.0	1.0	0.15666956521739134	0.010844574468203878
6.0	2.0	0.1625072463768116	0.012583583129016807
6.0	3.0	0.16875735294117647	0.015314545969816832
6.0	4.0	0.17311428571428567	0.014532986473967922
6.0	5.0	0.17833103448275864	0.013931652801741213
6.0	6.0	0.18506153846153847	0.015528015842924028
6.0	7.0	0.19103170731707314	0.017270081630154362
6.0	8.0	0.19143461538461537	0.01595017096604779
6.0	9.0	0.19643333333333335	0.016472651131318163
6.0	10.0	0.19561	0.015217712632908328
6.0	11.0	0.19908333333333336	0.017845718440753982
6.0	12.0	0.2026	0.01590953592451186
6.0	13.0	NaN	NaN
6.0	14.0	NaN	NaN
6.0	15.0	NaN	NaN
7.0	1.0	0.16009661016949153	0.012445536051985631
7.0	2.0	0.16546379310344828	0.0130706541303425
7.0	3.0	0.17050545454545454	0.013857080262474968
7.0	4.0	0.17655192307692308	0.01580585012550876
7.0	5.0	0.18021333333333334	0.01385479241011112
7.0	6.0	0.1870825	0.014874808983906055
7.0	7.0	0.1949121212121212	0.015724836198983076
7.0	8.0	0.19919499999999998	0.017904556168164217
7.0	9.0	0.20172727272727273	0.019420560800815764
7.0	10.0	0.1991	0.018952044744565164
7.0	11.0	0.1974	0.015119854496654395
7.0	12.0	0.20065	0.007848885271170676
7.0	13.0	NaN	NaN
8.0	1.0	0.1626604166666667	0.010997673633755908
8.0	2.0	0.16940416666666666	0.014290689698427353
8.0	3.0	0.17562173913043477	0.016239840079172622
8.0	4.0	0.17967073170731707	0.014460035337135918
8.0	5.0	0.18606216216216212	0.014210957262137773
8.0	6.0	0.19275517241379309	0.016791017713708386
8.0	7.0	0.19727142857142854	0.013498153312847757
8.0	8.0	0.2094785714285714	0.017554450611276223
8.0	9.0	0.202725	0.018488802917802263
8.0	10.0	NaN	NaN
8.0	11.0	NaN	NaN
8.0	12.0	NaN	NaN
8.0	13.0	NaN	NaN
9.0	1.0	0.16786486486486485	0.013651500044077702
9.0	2.0	0.1747111111111111	0.016556548601302797
9.0	3.0	0.17995454545454545	0.015801228016144246
9.0	4.0	0.18618965517241376	0.01660138429743535
9.0	5.0	0.19427916666666664	0.01915604069027669
