# REJUVENATION FRACTION IN LINEAGE
# original file "wt_decCap_noRe_3gen_perturbed.txt" 
# mother	daughter	nCells	rej>0	rej>0.2	rej>0.5	rej>1
3.0	15.0	1.0	NaN	NaN	NaN	NaN
4.0	1.0	81.0	0.7283950617283951	0.5925925925925926	0.2716049382716049	0.012345679012345678
4.0	2.0	80.0	0.7	0.4875	0.1875	0.0
4.0	3.0	80.0	0.5	0.3375	0.125	0.0
4.0	4.0	77.0	0.42857142857142855	0.2987012987012987	0.05194805194805195	0.0
4.0	5.0	75.0	0.18666666666666668	0.09333333333333334	0.04	0.0
4.0	6.0	70.0	0.1	0.04285714285714286	0.014285714285714285	0.0
4.0	7.0	57.0	0.0	0.0	0.0	0.0
4.0	8.0	51.0	0.0	0.0	0.0	0.0
4.0	9.0	38.0	0.0	0.0	0.0	0.0
4.0	10.0	30.0	0.0	0.0	0.0	0.0
4.0	11.0	16.0	0.0	0.0	0.0	0.0
4.0	12.0	10.0	0.0	0.0	0.0	0.0
4.0	13.0	8.0	0.0	0.0	0.0	0.0
4.0	14.0	1.0	NaN	NaN	NaN	NaN
5.0	1.0	75.0	0.88	0.72	0.37333333333333335	0.02666666666666667
5.0	2.0	75.0	0.8533333333333334	0.5733333333333334	0.24	0.0
5.0	3.0	74.0	0.5540540540540541	0.40540540540540543	0.16216216216216217	0.013513513513513514
5.0	4.0	71.0	0.5070422535211268	0.2676056338028169	0.08450704225352113	0.0
5.0	5.0	68.0	0.19117647058823528	0.07352941176470588	0.029411764705882353	0.0
5.0	6.0	63.0	0.23809523809523808	0.09523809523809523	0.0	0.0
5.0	7.0	52.0	0.019230769230769232	0.019230769230769232	0.0	0.0
5.0	8.0	36.0	0.0	0.0	0.0	0.0
5.0	9.0	21.0	0.0	0.0	0.0	0.0
5.0	10.0	11.0	0.0	0.0	0.0	0.0
5.0	11.0	4.0	0.0	0.0	0.0	0.0
5.0	12.0	3.0	0.0	0.0	0.0	0.0
5.0	13.0	1.0	NaN	NaN	NaN	NaN
5.0	14.0	1.0	NaN	NaN	NaN	NaN
5.0	15.0	1.0	NaN	NaN	NaN	NaN
5.0	16.0	1.0	NaN	NaN	NaN	NaN
6.0	1.0	69.0	0.8840579710144928	0.7681159420289855	0.34782608695652173	0.014492753623188406
6.0	2.0	69.0	0.8260869565217391	0.5942028985507246	0.2318840579710145	0.043478260869565216
6.0	3.0	68.0	0.6176470588235294	0.39705882352941174	0.08823529411764706	0.014705882352941176
6.0	4.0	63.0	0.4126984126984127	0.2222222222222222	0.06349206349206349	0.0
6.0	5.0	58.0	0.20689655172413793	0.1206896551724138	0.05172413793103448	0.0
6.0	6.0	52.0	0.019230769230769232	0.0	0.0	0.0
6.0	7.0	41.0	0.07317073170731707	0.024390243902439025	0.024390243902439025	0.0
6.0	8.0	26.0	0.0	0.0	0.0	0.0
6.0	9.0	18.0	0.0	0.0	0.0	0.0
6.0	10.0	10.0	0.0	0.0	0.0	0.0
6.0	11.0	6.0	0.0	0.0	0.0	0.0
6.0	12.0	4.0	0.0	0.0	0.0	0.0
6.0	13.0	1.0	NaN	NaN	NaN	NaN
6.0	14.0	1.0	NaN	NaN	NaN	NaN
6.0	15.0	1.0	NaN	NaN	NaN	NaN
7.0	1.0	59.0	0.8813559322033898	0.8135593220338984	0.423728813559322	0.05084745762711865
7.0	2.0	58.0	0.7586206896551724	0.5689655172413793	0.15517241379310345	0.0
7.0	3.0	55.0	0.6	0.38181818181818183	0.18181818181818182	0.0
7.0	4.0	52.0	0.23076923076923078	0.09615384615384616	0.019230769230769232	0.0
7.0	5.0	45.0	0.2	0.044444444444444446	0.0	0.0
7.0	6.0	40.0	0.05	0.0	0.0	0.0
7.0	7.0	33.0	0.0	0.0	0.0	0.0
7.0	8.0	20.0	0.0	0.0	0.0	0.0
7.0	9.0	11.0	0.0	0.0	0.0	0.0
7.0	10.0	5.0	0.0	0.0	0.0	0.0
7.0	11.0	3.0	0.0	0.0	0.0	0.0
7.0	12.0	2.0	0.0	0.0	0.0	0.0
7.0	13.0	1.0	NaN	NaN	NaN	NaN
8.0	1.0	48.0	0.9166666666666666	0.7291666666666666	0.3333333333333333	0.020833333333333332
8.0	2.0	48.0	0.9166666666666666	0.6666666666666666	0.22916666666666666	0.0
8.0	3.0	46.0	0.6956521739130435	0.43478260869565216	0.08695652173913043	0.0
8.0	4.0	41.0	0.2926829268292683	0.07317073170731707	0.0	0.0
8.0	5.0	37.0	0.05405405405405406	0.0	0.0	0.0
8.0	6.0	29.0	0.06896551724137931	0.034482758620689655	0.0	0.0
8.0	7.0	21.0	0.0	0.0	0.0	0.0
8.0	8.0	14.0	0.0	0.0	0.0	0.0
8.0	9.0	4.0	0.0	0.0	0.0	0.0
8.0	10.0	1.0	NaN	NaN	NaN	NaN
8.0	11.0	1.0	NaN	NaN	NaN	NaN
8.0	12.0	1.0	NaN	NaN	NaN	NaN
8.0	13.0	1.0	NaN	NaN	NaN	NaN
9.0	1.0	37.0	1.0	0.8378378378378378	0.2972972972972973	0.02702702702702703
9.0	2.0	36.0	0.8333333333333334	0.6666666666666666	0.1388888888888889	0.0
9.0	3.0	33.0	0.7878787878787878	0.48484848484848486	0.0	0.0
9.0	4.0	29.0	0.3448275862068966	0.13793103448275862	0.034482758620689655	0.0
9.0	5.0	24.0	0.125	0.08333333333333333	0.0	0.0
9.0	6.0	13.0	0.0	0.0	0.0	0.0
9.0	7.0	10.0	0.0	0.0	0.0	0.0
9.0	8.0	6.0	0.0	0.0	0.0	0.0
9.0	9.0	1.0	NaN	NaN	NaN	NaN
10.0	1.0	24.0	0.9166666666666666	0.875	0.4583333333333333	0.0
10.0	2.0	24.0	0.9166666666666666	0.5	0.125	0.0
10.0	3.0	21.0	0.6666666666666666	0.3333333333333333	0.09523809523809523	0.0
10.0	4.0	15.0	0.5333333333333333	0.4	0.13333333333333333	0.0
10.0	5.0	11.0	0.09090909090909091	0.09090909090909091	0.0	0.0
10.0	6.0	6.0	0.0	0.0	0.0	0.0
10.0	7.0	5.0	0.0	0.0	0.0	0.0
10.0	8.0	3.0	0.0	0.0	0.0	0.0
10.0	9.0	3.0	0.0	0.0	0.0	0.0
11.0	1.0	11.0	0.9090909090909091	0.6363636363636364	0.2727272727272727	0.0
11.0	2.0	11.0	0.9090909090909091	0.9090909090909091	0.09090909090909091	0.0
11.0	3.0	11.0	0.5454545454545454	0.18181818181818182	0.09090909090909091	0.0
11.0	4.0	8.0	0.375	0.125	0.0	0.0
11.0	5.0	7.0	0.2857142857142857	0.0	0.0	0.0
11.0	6.0	7.0	0.14285714285714285	0.14285714285714285	0.14285714285714285	0.0
11.0	7.0	4.0	0.0	0.0	0.0	0.0
11.0	8.0	1.0	NaN	NaN	NaN	NaN
11.0	9.0	1.0	NaN	NaN	NaN	NaN
12.0	1.0	8.0	1.0	1.0	0.625	0.0
12.0	2.0	8.0	0.875	0.5	0.125	0.0
12.0	3.0	6.0	0.6666666666666666	0.3333333333333333	0.16666666666666666	0.0
12.0	4.0	5.0	0.6	0.4	0.2	0.0
12.0	5.0	4.0	0.0	0.0	0.0	0.0
12.0	6.0	1.0	NaN	NaN	NaN	NaN
13.0	1.0	6.0	1.0	1.0	0.3333333333333333	0.16666666666666666
13.0	2.0	6.0	1.0	0.6666666666666666	0.3333333333333333	0.0
13.0	3.0	3.0	0.6666666666666666	0.6666666666666666	0.0	0.0
13.0	4.0	1.0	NaN	NaN	NaN	NaN
14.0	1.0	1.0	NaN	NaN	NaN	NaN
14.0	2.0	1.0	NaN	NaN	NaN	NaN
14.0	3.0	1.0	NaN	NaN	NaN	NaN
14.0	4.0	1.0	NaN	NaN	NaN	NaN
