# HEALTHSPAN VS RLS BY REJUVENATION
# original file "wt_decCap_noRe_3gen.txt" 
# h	rls	rejuvenation
0.6449961191513381	27.0	1.3449
0.5626810538919941	25.0	1.3449
0.6785499859099517	30.0	1.3367
0.7072496381795061	33.0	1.3367
0.6743790468684149	30.0	1.3367
0.708587782121177	34.0	1.3367
0.642257860305812	26.0	1.3367
0.6493324250314271	27.0	1.3367
0.6271956048424272	25.0	1.3367
0.6889433708076623	31.0	1.3318
0.5941337335574973	22.0	1.3318
0.6840420951510399	31.0	1.3318
0.6812829864471144	31.0	1.3318
0.6766823402344233	30.0	1.3318
0.6393019238089661	26.0	1.3283
0.6784214070885674	30.0	1.3283
0.6803933919454506	30.0	1.3283
0.6787339163518191	30.0	1.3283
0.6512072151401194	27.0	1.3283
0.6942380420386516	32.0	1.3249
0.7209147475921014	35.0	1.3249
0.669677929766902	30.0	1.3249
0.7196941025905406	36.0	1.3249
0.5863245007630034	22.0	1.3241
0.6700840340407418	29.0	1.3241
0.648442458291317	27.0	1.3241
0.6716175897820796	29.0	1.2712
0.6322796109631985	32.0	1.2712
0.6424262884142297	27.0	1.2698
0.6510274330402146	27.0	1.2698
0.49513866686341534	20.0	1.2698
0.6745395935995144	30.0	1.2698
0.6455172795607944	27.0	1.2698
0.5452007672316131	19.0	1.2698
0.7083502089659415	34.0	1.2696
0.6425373640272027	26.0	1.2696
0.6062216432880451	23.0	1.2658
0.685576070901034	32.0	1.2658
0.6096956871986631	24.0	1.2658
0.6391505750568466	26.0	1.2658
0.605431147691476	23.0	1.2658
0.7064229827749328	34.0	1.2581
0.6565366531619664	34.0	1.2581
0.6754765559104549	30.0	1.2535
0.6158700269087566	24.0	1.2535
0.6460410376293273	26.0	1.2535
0.6695178522323827	29.0	1.2502
0.6410185330861442	26.0	1.2502
0.6063004277754561	23.0	1.2502
0.6756602186862127	23.0	1.2502
0.6383839050143749	26.0	1.2469
0.6787048840531233	31.0	1.2469
0.6821926203158813	30.0	1.2469
0.6012830033865786	28.0	1.2469
0.6515836318106565	27.0	1.2469
0.64882970594253	27.0	1.2462
0.6345098028165245	26.0	1.2462
