# REJUVENATION INDEX IN LINEAGE
# original file "wt_decCap_noRe_3gen.txt" 
# mother	daughter	rejMean	rejStd
1.0	44.0	NaN	NaN
1.0	45.0	NaN	NaN
1.0	46.0	NaN	NaN
1.0	47.0	NaN	NaN
1.0	48.0	NaN	NaN
1.0	49.0	NaN	NaN
1.0	50.0	NaN	NaN
1.0	51.0	NaN	NaN
1.0	52.0	NaN	NaN
1.0	53.0	NaN	NaN
1.0	54.0	NaN	NaN
1.0	55.0	NaN	NaN
1.0	56.0	NaN	NaN
1.0	57.0	NaN	NaN
1.0	58.0	NaN	NaN
2.0	1.0	0.11785352112676055	0.5171671127452367
2.0	2.0	0.11387605633802818	0.5826673323019361
2.0	3.0	0.022769503546099287	0.40837965528297016
2.0	4.0	0.014582978723404255	0.5169720064205531
2.0	5.0	-0.01742411347517731	0.46693268448777336
2.0	6.0	-0.09810071942446041	0.5001663499358732
2.0	7.0	-0.12014963503649632	0.5203180182977589
2.0	8.0	-0.15032279411764704	0.45318882549181805
2.0	9.0	-0.25331037037037035	0.44831396385809835
2.0	10.0	-0.32067537313432837	0.4061815897170226
2.0	11.0	-0.39226821705426357	0.3641194193668851
2.0	12.0	-0.44377333333333335	0.36989952706545765
2.0	13.0	-0.563870796460177	0.30907119749611317
2.0	14.0	-0.6367773195876291	0.3587887550220054
2.0	15.0	-0.7070682926829269	0.37448122334311407
2.0	16.0	-0.8170064516129035	0.3256741426192892
2.0	17.0	-0.9259698113207546	0.3955029702236545
2.0	18.0	-1.0381720930232559	0.3948302277263829
2.0	19.0	-1.2209612903225804	0.3002122934163083
2.0	20.0	-1.1197782608695654	0.3468250147690694
2.0	21.0	-1.27537	0.46919262692192293
2.0	22.0	-1.4140411764705885	0.3716607863005316
2.0	23.0	-1.3971142857142858	0.5505713841192521
2.0	24.0	-1.5582000000000003	0.32539990780576444
2.0	25.0	-1.63671	0.4291024364880721
2.0	26.0	-1.8157	0.31436052551171245
2.0	27.0	-1.8887999999999998	0.48640408612592895
2.0	28.0	-2.0461	0.41715496521077156
2.0	29.0	-2.00028	0.361432154075976
2.0	30.0	-1.92675	0.35147853893706416
2.0	31.0	-2.101375	0.3738129512202594
2.0	32.0	-2.143325	0.085521240051814
2.0	33.0	-2.4429333333333334	0.315078630397768
2.0	34.0	-2.419966666666667	0.14480028775293693
2.0	35.0	NaN	NaN
2.0	36.0	NaN	NaN
2.0	37.0	NaN	NaN
2.0	38.0	NaN	NaN
2.0	39.0	NaN	NaN
2.0	40.0	NaN	NaN
2.0	41.0	NaN	NaN
2.0	42.0	NaN	NaN
2.0	43.0	NaN	NaN
2.0	44.0	NaN	NaN
2.0	45.0	NaN	NaN
3.0	1.0	0.16389214285714288	0.4827622727100883
3.0	2.0	0.1514235714285715	0.490413585052881
3.0	3.0	0.07239352517985613	0.5274773916727511
3.0	4.0	0.10695539568345323	0.46779455096129696
3.0	5.0	0.04377913669064747	0.5439539176819744
3.0	6.0	-0.006562773722627738	0.44945547332419195
3.0	7.0	-0.0637094890510949	0.4228228819986553
3.0	8.0	-0.16811555555555552	0.48252827105586177
3.0	9.0	-0.19331136363636361	0.3888336883529078
3.0	10.0	-0.27858750000000004	0.4113725719021454
3.0	11.0	-0.38925161290322596	0.3091046999413511
3.0	12.0	-0.43951531531531535	0.2879774474118662
3.0	13.0	-0.5864607843137255	0.29269995320347997
3.0	14.0	-0.6277404494382024	0.3461743457615426
3.0	15.0	-0.7711926470588236	0.28528894403204336
3.0	16.0	-0.8246963636363638	0.2720177798952204
3.0	17.0	-0.8773023255813954	0.23202005813165225
3.0	18.0	-1.0147545454545457	0.2309158925492531
3.0	19.0	-1.0037916666666666	0.3656156129725252
3.0	20.0	-1.08706	0.2990280912697351
3.0	21.0	-1.1664388888888888	0.20023861101163604
3.0	22.0	-1.3150066666666669	0.2158729635247369
3.0	23.0	-1.224642857142857	0.24881703415063142
3.0	24.0	-1.4428714285714288	0.1367084513091296
3.0	25.0	-1.52731	0.17450739844233285
3.0	26.0	-1.7089875	0.14017985831984367
3.0	27.0	-1.804875	0.1410677230978086
3.0	28.0	-1.9018499999999998	0.10808368671234964
3.0	29.0	-1.9923000000000002	0.06292718013704424
3.0	30.0	-1.97255	0.1306026224851554
3.0	31.0	-2.287	0.08951971849821679
4.0	1.0	0.18531970802919712	0.43365198991672765
4.0	2.0	0.10484963503649634	0.4303247523885283
4.0	3.0	0.11422647058823532	0.44188179452332577
4.0	4.0	0.09262058823529412	0.4210092591781391
4.0	5.0	0.04786176470588236	0.43247389834469246
4.0	6.0	-0.028097777777777774	0.4776203173362062
4.0	7.0	-0.043172592592592596	0.4362104350496597
4.0	8.0	-0.06475820895522386	0.5388090684327237
4.0	9.0	-0.1834233082706767	0.36658036716247155
4.0	10.0	-0.30325230769230765	0.2691776434890595
4.0	11.0	-0.36529024390243914	0.3072887682899476
4.0	12.0	-0.46345436893203895	0.2561771843083163
4.0	13.0	-0.5418438202247191	0.32783867566611596
4.0	14.0	-0.6454013513513515	0.24073832180853538
4.0	15.0	-0.6879500000000003	0.37356366387125
4.0	16.0	-0.7683187500000002	0.2607517313185826
4.0	17.0	-0.8122404761904762	0.28504533234636664
4.0	18.0	-0.935472972972973	0.22037503847437576
4.0	19.0	-1.1052703703703701	0.24912747094735815
4.0	20.0	-1.2065052631578947	0.2359902551511731
4.0	21.0	-1.231809090909091	0.2555293269061125
4.0	22.0	-1.229275	0.2677429297452529
4.0	23.0	-1.2852166666666667	0.20912376638408814
4.0	24.0	-1.4287999999999998	0.13523546872030284
4.0	25.0	-1.3501999999999998	0.3961375468192834
4.0	26.0	-1.7768799999999998	0.12587585948068036
4.0	27.0	-1.5388	0.4081420341008752
4.0	28.0	-1.8917	0.1337846030004948
4.0	29.0	NaN	NaN
4.0	30.0	NaN	NaN
5.0	1.0	0.13290740740740742	0.4897982589008792
5.0	2.0	0.08048666666666664	0.4900972834892906
