# GENERATION TIME IN LINEAGE
# original file "wt_decCap_noRe_3gen.txt" 
# mother	daughter	genTMean	genTStd
6.0	20.0	1.5700636363636364	0.06911289709927187
6.0	21.0	1.5927363636363636	0.09435552207186684
6.0	22.0	1.6144444444444443	0.10937775266377427
6.0	23.0	1.636766666666667	0.13040761097420656
6.0	24.0	1.7316375	0.23867744484674583
6.0	25.0	1.7585833333333334	0.21459011549152646
6.0	26.0	1.8188000000000002	0.29571055104611993
6.0	27.0	1.815	0.4087077195258245
6.0	28.0	NaN	NaN
6.0	29.0	NaN	NaN
6.0	30.0	NaN	NaN
6.0	31.0	NaN	NaN
6.0	32.0	NaN	NaN
6.0	33.0	NaN	NaN
6.0	34.0	NaN	NaN
7.0	1.0	1.4545682539682538	0.03811783131458274
7.0	2.0	1.4665571428571424	0.043268864424334356
7.0	3.0	1.4798531746031744	0.06115069737820878
7.0	4.0	1.4841556451612898	0.0640774382911362
7.0	5.0	1.502240650406504	0.06903367298739711
7.0	6.0	1.5094520661157023	0.05708647548408986
7.0	7.0	1.5265525	0.08587901394237292
7.0	8.0	1.5350271186440676	0.16663046871580042
7.0	9.0	1.5241822429906537	0.22794797106336054
7.0	10.0	1.572416	0.10298032245104502
7.0	11.0	1.6077890109890116	0.1218163740595286
7.0	12.0	1.602952	0.24702933536268465
7.0	13.0	1.6208524590163937	0.13485788026234308
7.0	14.0	1.583029166666667	0.2657828724756703
7.0	15.0	1.6428918918918918	0.1641320866767887
7.0	16.0	1.6212037037037035	0.11304654412940333
7.0	17.0	1.6316625000000002	0.1607654511135372
7.0	18.0	1.5320684210526316	0.3899597358882518
7.0	19.0	1.6190866666666666	0.14700461541183305
7.0	20.0	1.6693214285714286	0.23241680456446354
7.0	21.0	1.6261083333333335	0.11703414776219905
7.0	22.0	1.5974222222222223	0.0836622641603994
7.0	23.0	1.6150375	0.1305942783421781
7.0	24.0	1.6393	0.13519803992662022
7.0	25.0	1.6666166666666664	0.15139923931997365
7.0	26.0	1.683425	0.17604689479416177
7.0	27.0	1.48925	0.016617009357883763
7.0	28.0	1.5049000000000001	0.0022627416997968598
7.0	29.0	1.56325	0.03500178566873417
7.0	30.0	1.4926	0.00975807358037438
