# INITIAL DAMAGE IN LINEAGE
# original file "wt_unlimCap_noRe_3gen_perturbed.txt" 
# mother	daughter	initDMean	initDStd
6.0	11.0	0.21386666666666665	0.018353837019362825
6.0	12.0	0.2273	0.009899494936611674
7.0	1.0	0.17058214285714288	0.012790580442339121
7.0	2.0	0.17781818181818185	0.015036364450632868
7.0	3.0	0.18559807692307692	0.01792856730586763
7.0	4.0	0.1918659090909091	0.019988251702714725
7.0	5.0	0.19399393939393939	0.017184148571320373
7.0	6.0	0.20036	0.01819972527265178
7.0	7.0	0.20074666666666668	0.016134739214620403
7.0	8.0	0.20602	0.01628992872230501
7.0	9.0	0.20675	0.025033377718558073
7.0	10.0	0.19574999999999998	0.019445436482630054
7.0	11.0	NaN	NaN
7.0	12.0	NaN	NaN
7.0	13.0	NaN	NaN
8.0	1.0	0.17277297297297298	0.012605039747141897
8.0	2.0	0.17999444444444446	0.013845204315562935
8.0	3.0	0.19093714285714283	0.020362553372107652
8.0	4.0	0.19307407407407404	0.015126380231812862
8.0	5.0	0.20230476190476188	0.01866974761989235
8.0	6.0	0.20104545454545455	0.016636247391546188
8.0	7.0	0.2063142857142857	0.01553119748242534
8.0	8.0	0.21300000000000002	0.014247572892718718
8.0	9.0	0.22925	0.026233661582020906
9.0	1.0	0.17477391304347825	0.012772385603014608
9.0	2.0	0.18207727272727273	0.014999204163592333
9.0	3.0	0.19139523809523806	0.018014063289288073
9.0	4.0	0.19814705882352945	0.018541140662289995
9.0	5.0	0.20469166666666663	0.019804015127027022
9.0	6.0	0.1999	0.004896120913539611
9.0	7.0	0.22210000000000002	0.01470459111978297
9.0	8.0	NaN	NaN
10.0	1.0	0.18178125	0.017535876320655702
10.0	2.0	0.18862857142857142	0.022999345427857077
10.0	3.0	0.19011666666666668	0.01307244383727801
10.0	4.0	0.20028	0.017777688888666668
10.0	5.0	0.20521666666666663	0.02258064805683545
10.0	6.0	0.21197499999999997	0.024318220192549728
10.0	7.0	0.20735	0.0014849242404917434
11.0	1.0	0.18102857142857146	0.013924404749182192
11.0	2.0	0.19307142857142856	0.019862251826493576
11.0	3.0	0.186825	0.009046684475541291
11.0	4.0	0.2003	0.013635492901493027
11.0	5.0	0.2062	0.02107178207935911
11.0	6.0	NaN	NaN
12.0	1.0	0.18374999999999997	0.012134386401187877
12.0	2.0	0.196075	0.016363042708086615
12.0	3.0	0.1948	0.014283556979968257
12.0	4.0	NaN	NaN
12.0	5.0	NaN	NaN
13.0	1.0	NaN	NaN
13.0	2.0	NaN	NaN
13.0	3.0	NaN	NaN
13.0	4.0	NaN	NaN
13.0	5.0	NaN	NaN
14.0	1.0	NaN	NaN
