# RLS IN LINEAGE
# original file "wt_unlimCap_noRe_3gen_perturbed.txt" 
# mother	daughter	rlsMean	rlsStd
9.0	4.0	5.294117647058823	2.97415336445418
9.0	5.0	4.833333333333333	2.5166114784235836
9.0	6.0	4.666666666666667	1.3662601021279464
9.0	7.0	2.6	1.140175425099138
9.0	8.0	NaN	NaN
10.0	1.0	6.625	2.247220505424423
10.0	2.0	5.857142857142857	3.0091435749968887
10.0	3.0	5.416666666666667	1.781640374554423
10.0	4.0	4.5	1.9578900207451218
10.0	5.0	4.333333333333333	2.3380903889000244
10.0	6.0	3.5	1.9148542155126762
10.0	7.0	4.0	0.0
11.0	1.0	6.714285714285714	1.9760470401187076
11.0	2.0	5.285714285714286	2.138089935299395
11.0	3.0	6.5	3.1091263510296048
11.0	4.0	4.25	2.0615528128088303
11.0	5.0	5.0	2.8284271247461903
11.0	6.0	NaN	NaN
