# =============================================
# WT SURFACES
# =============================================
# Q 2.5526 
# s 0.637 
# g 1.05 
# maximal time 1000.0 
# expected RLS 24 pm 0 
# =============================================
# k1	k2	R	re	RLS	lifetime	tau	eta
0.325000	0.020000	0.318310	0.183200	24.000000	37.854886	0.739184	0.875000
0.325000	0.025000	1000.000000	0.215075	24.000000	40.513972	0.638138	0.791667
0.325000	0.025000	0.318310	0.198200	24.000000	39.871614	0.671624	0.833333
0.325000	0.030000	1000.000000	0.234450	24.000000	42.189236	0.629493	0.791667
0.325000	0.030000	0.318310	0.210700	24.000000	39.580284	0.679849	0.833333
0.325000	0.035000	1000.000000	0.253200	24.000000	42.926087	0.587695	0.750000
0.325000	0.035000	0.318310	0.223200	24.000000	39.339915	0.686618	0.833333
0.325000	0.040000	1000.000000	0.274450	24.000000	44.730260	0.537913	0.708333
0.325000	0.040000	0.318310	0.238200	24.000000	40.912267	0.670368	0.833333
0.325000	0.045000	0.318310	0.250700	24.000000	40.195825	0.683773	0.833333
0.325000	0.050000	0.318310	0.265700	24.000000	41.297011	0.675172	0.833333
0.325000	0.055000	0.318310	0.280700	24.000000	42.392766	0.623771	0.791667
0.325000	0.060000	0.318310	0.293200	24.000000	41.143908	0.685549	0.833333
0.330000	0.005000	1000.000000	0.134450	24.000000	37.022691	0.740711	0.875000
0.330000	0.005000	0.318310	0.133200	24.000000	37.915749	0.728263	0.875000
0.330000	0.010000	1000.000000	0.150700	24.000000	38.197292	0.734979	0.875000
0.330000	0.010000	0.318310	0.145700	24.000000	38.614491	0.723124	0.875000
0.330000	0.015000	1000.000000	0.168200	24.000000	40.396599	0.664893	0.833333
0.330000	0.015000	0.318310	0.158200	24.000000	39.130531	0.672333	0.833333
0.330000	0.020000	1000.000000	0.183200	24.000000	39.674379	0.683371	0.833333
0.330000	0.020000	0.318310	0.170700	24.000000	39.331842	0.674173	0.833333
0.330000	0.025000	1000.000000	0.200700	24.000000	40.687766	0.636712	0.791667
0.330000	0.025000	0.318310	0.183200	24.000000	39.327263	0.678754	0.833333
0.330000	0.030000	1000.000000	0.220700	24.000000	43.495992	0.571923	0.750000
0.330000	0.030000	0.318310	0.194450	24.000000	38.414409	0.737590	0.875000
0.330000	0.035000	1000.000000	0.238200	24.000000	43.012346	0.586924	0.750000
0.330000	0.035000	0.318310	0.208200	24.000000	39.101863	0.689485	0.833333
0.330000	0.040000	1000.000000	0.258200	24.000000	44.162375	0.543025	0.708333
0.330000	0.040000	0.318310	0.223200	24.000000	40.826512	0.670848	0.833333
0.330000	0.045000	1000.000000	0.280700	24.000000	46.375814	0.532923	0.708333
0.330000	0.045000	0.318310	0.235075	24.000000	39.723658	0.690646	0.833333
0.330000	0.050000	0.318310	0.250700	24.000000	41.442593	0.672838	0.833333
0.330000	0.055000	0.318310	0.263200	24.000000	40.547100	0.687958	0.833333
0.330000	0.060000	0.318310	0.278200	24.000000	41.310835	0.683722	0.833333
0.330000	0.065000	0.318310	0.293200	24.000000	41.922407	0.638531	0.791667
0.335000	0.005000	1000.000000	0.120700	24.000000	37.122374	0.740479	0.875000
0.335000	0.005000	0.318310	0.118200	24.000000	37.065028	0.738733	0.875000
0.335000	0.010000	1000.000000	0.135622	24.000000	37.575370	0.741463	0.875000
0.335000	0.010000	0.318310	0.130700	24.000000	37.690206	0.735146	0.875000
0.335000	0.015000	1000.000000	0.153200	24.000000	39.601171	0.678445	0.833333
0.335000	0.015000	0.318310	0.143200	24.000000	38.212435	0.732705	0.875000
0.335000	0.020000	1000.000000	0.168200	24.000000	39.278690	0.689661	0.833333
0.335000	0.020000	0.318310	0.154450	24.000000	37.679775	0.741930	0.875000
0.335000	0.025000	1000.000000	0.185700	24.000000	40.403265	0.639982	0.791667
0.335000	0.025000	0.318310	0.168200	24.000000	38.774945	0.685814	0.833333
0.335000	0.030000	1000.000000	0.203200	24.000000	41.120631	0.640253	0.791667
0.335000	0.030000	0.318310	0.180700	24.000000	38.837292	0.688957	0.833333
0.335000	0.035000	1000.000000	0.223200	24.000000	43.080431	0.586156	0.750000
0.335000	0.035000	0.318310	0.193200	24.000000	38.812962	0.736890	0.875000
0.335000	0.040000	1000.000000	0.243200	24.000000	44.441573	0.540393	0.708333
0.335000	0.040000	0.318310	0.208200	24.000000	40.629258	0.672788	0.833333
0.335000	0.045000	1000.000000	0.265700	24.000000	47.402314	0.483352	0.666667
0.335000	0.045000	0.318310	0.220700	24.000000	39.996728	0.685786	0.833333
0.335000	0.050000	1000.000000	0.288200	24.000000	48.713169	0.482896	0.666667
0.335000	0.050000	0.318310	0.233200	24.000000	39.603882	0.695780	0.833333
0.335000	0.055000	0.318310	0.248200	24.000000	40.571762	0.687586	0.833333
0.335000	0.060000	0.318310	0.263200	24.000000	41.489654	0.638411	0.791667
0.335000	0.065000	0.318310	0.278200	24.000000	42.277547	0.634306	0.791667
0.335000	0.070000	0.318310	0.293200	24.000000	42.829255	0.633095	0.791667
0.340000	0.005000	1000.000000	0.108200	24.000000	38.426718	0.724914	0.875000
0.340000	0.005000	0.318310	0.104450	24.000000	37.154704	0.738288	0.875000
0.340000	0.010000	1000.000000	0.123200	24.000000	38.843687	0.680015	0.833333
0.340000	0.010000	0.318310	0.115388	24.000000	36.786855	0.745124	0.875000
0.340000	0.015000	1000.000000	0.138200	24.000000	38.899703	0.687024	0.833333
0.340000	0.015000	0.318310	0.128200	24.000000	37.497986	0.741089	0.875000
0.340000	0.020000	1000.000000	0.154450	24.000000	39.677425	0.682646	0.833333
0.340000	0.020000	0.318310	0.140700	24.000000	37.926222	0.739889	0.875000
0.340000	0.025000	1000.000000	0.170700	24.000000	40.060216	0.686627	0.833333
0.340000	0.025000	0.318310	0.153200	24.000000	38.228039	0.740142	0.875000
0.340000	0.030000	1000.000000	0.188200	24.000000	40.906518	0.642203	0.791667
0.340000	0.030000	0.318310	0.165700	24.000000	38.405128	0.741768	0.875000
0.340000	0.035000	1000.000000	0.208200	24.000000	43.123678	0.585219	0.750000
0.340000	0.035000	0.318310	0.178200	24.000000	38.480689	0.740393	0.875000
0.340000	0.040000	1000.000000	0.228200	24.000000	44.823502	0.536372	0.708333
0.340000	0.040000	0.318310	0.193200	24.000000	40.303415	0.679512	0.833333
0.340000	0.045000	1000.000000	0.248200	24.000000	45.464057	0.540480	0.708333
0.340000	0.045000	0.318310	0.205700	24.000000	39.808708	0.690000	0.833333
0.340000	0.050000	1000.000000	0.270700	24.000000	47.352556	0.493761	0.666667
0.340000	0.050000	0.318310	0.218200	24.000000	39.476608	0.697258	0.833333
0.340000	0.055000	1000.000000	0.293200	24.000000	48.129217	0.458232	0.625000
0.340000	0.055000	0.318310	0.233200	24.000000	40.562397	0.687390	0.833333
0.340000	0.060000	0.318310	0.248200	24.000000	41.698066	0.635697	0.791667
0.340000	0.065000	0.318310	0.260700	24.000000	40.730020	0.693774	0.833333
0.340000	0.070000	0.318310	0.275387	24.000000	41.159557	0.693235	0.833333
0.340000	0.075000	0.318310	0.290700	24.000000	41.786597	0.648327	0.791667
0.345000	0.005000	1000.000000	0.093200	24.000000	37.252098	0.740279	0.875000
0.345000	0.005000	0.318310	0.090700	24.000000	37.216245	0.737990	0.875000
0.345000	0.010000	1000.000000	0.108200	24.000000	37.902327	0.739217	0.875000
0.345000	0.010000	0.318310	0.103200	24.000000	38.310781	0.726821	0.875000
0.345000	0.015000	1000.000000	0.123200	24.000000	38.249732	0.694606	0.833333
0.345000	0.015000	0.318310	0.114450	24.000000	37.673943	0.739553	0.875000
0.345000	0.020000	1000.000000	0.140700	24.000000	40.261120	0.674583	0.833333
0.345000	0.020000	0.318310	0.125700	24.000000	37.328109	0.746324	0.875000
0.345000	0.025000	1000.000000	0.155544	24.000000	39.572591	0.691689	0.833333
0.345000	0.025000	0.318310	0.138200	24.000000	37.693564	0.745833	0.875000
0.345000	0.030000	1000.000000	0.173200	24.000000	40.634471	0.644790	0.791667
0.345000	0.030000	0.318310	0.150700	24.000000	37.953842	0.746427	0.875000
0.345000	0.035000	1000.000000	0.193200	24.000000	43.131021	0.584404	0.750000
0.345000	0.035000	0.318310	0.164450	24.000000	38.891635	0.692658	0.833333
0.345000	0.040000	1000.000000	0.210700	24.000000	42.851132	0.596948	0.750000
0.345000	0.040000	0.318310	0.178200	24.000000	39.878483	0.684753	0.833333
0.345000	0.045000	1000.000000	0.233200	24.000000	46.145885	0.533202	0.708333
0.345000	0.045000	0.318310	0.190700	24.000000	39.557293	0.692834	0.833333
0.345000	0.050000	1000.000000	0.253200	24.000000	46.036190	0.504508	0.666667
0.345000	0.050000	0.318310	0.203200	24.000000	39.304328	0.699177	0.833333
0.345000	0.055000	1000.000000	0.278200	24.000000	49.275902	0.449350	0.625000
0.345000	0.055000	0.318310	0.218200	24.000000	40.508275	0.687569	0.833333
0.345000	0.060000	0.318310	0.233200	24.000000	42.025263	0.630959	0.791667
0.345000	0.065000	0.318310	0.245700	24.000000	40.795002	0.692864	0.833333
0.345000	0.070000	0.318310	0.260700	24.000000	41.522750	0.646490	0.791667
0.345000	0.075000	0.318310	0.274450	24.000000	41.314642	0.652733	0.791667
0.345000	0.080000	0.318310	0.290700	24.000000	42.446991	0.645830	0.791667
0.350000	0.005000	1000.000000	0.079450	24.000000	37.266610	0.740547	0.875000
0.350000	0.005000	0.318310	0.075544	24.000000	36.226998	0.798024	0.916667
0.350000	0.010000	1000.000000	0.093200	24.000000	37.154138	0.747113	0.875000
0.350000	0.010000	0.318310	0.088200	24.000000	37.080356	0.743330	0.875000
0.350000	0.015000	1000.000000	0.109450	24.000000	38.430617	0.693082	0.833333
0.350000	0.015000	0.318310	0.100700	24.000000	37.862713	0.737445	0.875000
0.350000	0.020000	1000.000000	0.125700	24.000000	39.472735	0.688282	0.833333
