# GENERATION TIME IN LINEAGE
# original file "wt_decCap_highRe_3gen.txt" 
# mother	daughter	genTMean	genTStd
3.0	29.0	1.6946	0.024436634197636406
3.0	30.0	1.69565	0.017462449509079287
3.0	31.0	1.68285	0.017506655877122884
3.0	32.0	1.705625	0.03847955084630446
3.0	33.0	1.6886999999999999	0.021496046148071032
3.0	34.0	NaN	NaN
3.0	35.0	NaN	NaN
3.0	36.0	NaN	NaN
3.0	37.0	NaN	NaN
3.0	38.0	NaN	NaN
3.0	39.0	NaN	NaN
3.0	40.0	NaN	NaN
3.0	41.0	NaN	NaN
4.0	1.0	1.64587012987013	0.021379336213727076
4.0	2.0	1.651565367965368	0.020773394663421613
4.0	3.0	1.656218181818182	0.022038875103105343
4.0	4.0	1.6591493506493513	0.021028125823845244
4.0	5.0	1.661142424242424	0.02112907786650429
4.0	6.0	1.6631216450216448	0.021057000465082524
4.0	7.0	1.6665848484848487	0.021511260647643513
4.0	8.0	1.6731186147186148	0.020732231780355704
4.0	9.0	1.6692367965367962	0.02073251355694377
4.0	10.0	1.67365670995671	0.021048604941851082
4.0	11.0	1.6750922077922081	0.02092693562540101
4.0	12.0	1.6742826839826839	0.020072790444857852
4.0	13.0	1.6749281385281387	0.021841317755631546
4.0	14.0	1.6767463203463202	0.021719097424225967
4.0	15.0	1.6809497835497833	0.02298798906510297
4.0	16.0	1.6832575757575758	0.022084389946631717
4.0	17.0	1.6828367965367965	0.02162797677219075
4.0	18.0	1.6875513157894735	0.022432888615894785
4.0	19.0	1.688973271889401	0.021626506046567382
4.0	20.0	1.6885466666666669	0.023045193757624614
4.0	21.0	1.6928378698224857	0.020953459998566445
4.0	22.0	1.6949113475177302	0.022827527530839303
4.0	23.0	1.6962388888888893	0.02359703701237169
4.0	24.0	1.694449425287357	0.021343938051032883
4.0	25.0	1.701173134328358	0.024425983321849244
4.0	26.0	1.7006627906976741	0.023522249075086078
4.0	27.0	1.699467857142857	0.02165240647940101
4.0	28.0	1.6969631578947368	0.019850754548388107
4.0	29.0	1.6923818181818178	0.02186352296322891
4.0	30.0	1.6897428571428572	0.01910452452019828
4.0	31.0	1.695516666666667	0.0231302759747191
4.0	32.0	1.6941199999999998	0.023652314897278013
4.0	33.0	1.6879666666666668	0.02701135563671939
4.0	34.0	NaN	NaN
4.0	35.0	NaN	NaN
4.0	36.0	NaN	NaN
4.0	37.0	NaN	NaN
4.0	38.0	NaN	NaN
4.0	39.0	NaN	NaN
4.0	40.0	NaN	NaN
5.0	1.0	1.6464623376623375	0.021521502123272213
5.0	2.0	1.6514835497835496	0.019435751178330844
5.0	3.0	1.6547519480519481	0.02176661750233467
5.0	4.0	1.6590285714285713	0.02099798452321715
5.0	5.0	1.6642142857142859	0.02201022517881996
5.0	6.0	1.660151082251082	0.019890578633837107
5.0	7.0	1.6654164502164504	0.021905234384301996
5.0	8.0	1.6710567099567097	0.021050503154119517
5.0	9.0	1.6716822510822513	0.019807637660589548
5.0	10.0	1.6703870129870133	0.018946519817973805
5.0	11.0	1.6737640692640692	0.020637577774840078
5.0	12.0	1.6764995670995668	0.021044076927364277
5.0	13.0	1.677895670995671	0.021951218216268584
5.0	14.0	1.679247619047619	0.021398012523563773
5.0	15.0	1.682197402597403	0.02082597233405801
5.0	16.0	1.6825917748917751	0.021415174868820226
5.0	17.0	1.6868969565217393	0.02202733988676764
5.0	18.0	1.685562555066079	0.021901690212189455
5.0	19.0	1.690378703703703	0.020855021372593582
5.0	20.0	1.6925434343434347	0.02127961614485368
5.0	21.0	1.6902974999999993	0.021510459500543644
5.0	22.0	1.6945617187500004	0.021638737941474383
5.0	23.0	1.6951091836734693	0.022339928133668255
5.0	24.0	1.6889380952380952	0.019640161524296616
5.0	25.0	1.6980477272727277	0.021092889671986328
5.0	26.0	1.696508823529412	0.021658120006370324
5.0	27.0	1.6977846153846152	0.0228765153344244
5.0	28.0	1.7040523809523809	0.022282899700165167
5.0	29.0	1.6993	0.021903842889624044
5.0	30.0	1.69837	0.029864510710875515
5.0	31.0	1.6761200000000003	0.0187623825779137
5.0	32.0	1.70155	0.038751387071948806
5.0	33.0	1.6982	0.030146807459497306
5.0	34.0	1.6964000000000001	0.042426406871192736
5.0	35.0	NaN	NaN
5.0	36.0	NaN	NaN
5.0	37.0	NaN	NaN
5.0	38.0	NaN	NaN
6.0	1.0	1.645864935064935	0.02075250911744597
6.0	2.0	1.652009090909091	0.020343063224201843
6.0	3.0	1.6546662337662335	0.020867717591843676
6.0	4.0	1.6584640692640689	0.019297270788659046
6.0	5.0	1.6629060606060608	0.02121462083145485
6.0	6.0	1.6647930735930736	0.021184160296515726
6.0	7.0	1.6681034632034633	0.02135997854882465
6.0	8.0	1.67095670995671	0.019791033004606464
6.0	9.0	1.6704588744588746	0.022065696306943453
6.0	10.0	1.671587445887446	0.02093282149214623
6.0	11.0	1.6730385281385278	0.020813691887748263
6.0	12.0	1.6748649350649352	0.021833857431105757
