# INITIAL DAMAGE IN LINEAGE
# original file "wt_decCap_highRe_3gen.txt" 
# mother	daughter	initDMean	initDStd
4.0	6.0	0.09371601731601732	0.0013963473093734611
4.0	7.0	0.09840562770562772	0.0016214629518655488
4.0	8.0	0.10254675324675323	0.0018637678817677314
4.0	9.0	0.10626320346320349	0.002136349211640014
4.0	10.0	0.10965454545454546	0.002440485275400497
4.0	11.0	0.11281991341991342	0.0027906742198198172
4.0	12.0	0.11583030303030302	0.003200236321972026
4.0	13.0	0.11875627705627705	0.0036897557349742875
4.0	14.0	0.12167965367965368	0.004294482998844778
4.0	15.0	0.12467316017316017	0.005069762704794838
4.0	16.0	0.12787445887445886	0.006132075082270738
4.0	17.0	0.13146926406926407	0.007748360773314733
4.0	18.0	0.13547894736842106	0.01013502648653077
4.0	19.0	0.1391253456221198	0.011413809577428876
4.0	20.0	0.14212871794871795	0.012535512272559942
4.0	21.0	0.1444834319526627	0.012514513861880974
4.0	22.0	0.1472382978723404	0.01359929966460704
4.0	23.0	0.14777314814814813	0.012504224381372726
4.0	24.0	0.14994367816091955	0.011971630235680784
4.0	25.0	0.15321194029850746	0.013434640011507789
4.0	26.0	0.15288604651162793	0.013175239789908746
4.0	27.0	0.15314642857142857	0.013316224638550471
4.0	28.0	0.15484210526315792	0.014738472549739177
4.0	29.0	0.15226363636363638	0.01519791253608684
4.0	30.0	0.14768571428571428	0.011357145852051118
4.0	31.0	0.1513	0.014000857116619681
4.0	32.0	0.15352000000000002	0.012102768278373338
4.0	33.0	0.15696666666666667	0.019873684442833772
4.0	34.0	NaN	NaN
4.0	35.0	NaN	NaN
4.0	36.0	NaN	NaN
4.0	37.0	NaN	NaN
4.0	38.0	NaN	NaN
4.0	39.0	NaN	NaN
4.0	40.0	NaN	NaN
5.0	1.0	0.054835064935064945	0.0005855728300078183
5.0	2.0	0.06602727272727273	0.0006696468304041736
5.0	3.0	0.07511991341991343	0.0008106047079010195
5.0	4.0	0.08262121212121211	0.0009842809350773716
5.0	5.0	0.08891038961038963	0.0011772389675313141
5.0	6.0	0.09427619047619047	0.001381554020437552
5.0	7.0	0.09893030303030302	0.001605977798844704
5.0	8.0	0.10303852813852815	0.0018504137017659162
5.0	9.0	0.10673593073593073	0.002119753651490596
5.0	10.0	0.11013679653679655	0.002423989910150142
5.0	11.0	0.11330865800865798	0.0027746387810203515
