# DAUGHTER VS RLS BY REJUVENATION
# original file "wt_decCap_highRe_3gen.txt" 
# initSize	totGrowth	rejuvenation
0.66893944	3.8964	0.768
0.83307222	3.1783	0.7678
0.78999628	3.2912	0.7678
0.6293160999999999	4.2468	0.7678
0.84215372	3.1761	0.7678
0.6678736599999999	3.9458	0.7678
0.75732288	3.6725	0.7677
0.9555501	2.8361	0.7677
0.64864488	4.1308	0.7677
0.8131329199999999	3.389	0.7677
0.73880462	3.8709	0.767
0.72571526	3.9216	0.767
0.7421019600000001	3.5217	0.767
0.67061574	3.9936	0.7253
0.598619	4.7727	0.7253
0.7417467	3.802	0.7253
0.65950268	4.1817	0.7253
0.64676858	4.373	0.7253
0.7381941	3.6038	0.7251
0.6264740200000001	4.1591	0.7251
0.86270354	3.2273	0.7251
0.72546	3.5862	0.7251
0.9317029400000001	2.863	0.7251
0.8290643600000001	3.2576	0.7247
0.72982312	3.7914	0.7247
0.7888305	3.4649	0.7247
0.71343642	3.7916	0.7247
0.76853594	3.3804	0.7247
0.68416036	3.9312	0.7247
0.7816253	3.388	0.7247
0.7323099399999999	3.6527	0.7246
0.69065504	3.8009	0.7246
0.75909918	3.5472	0.7246
0.7185100600000001	3.6844	0.7246
0.9556501	2.8945	0.7246
0.74245722	3.7784	0.7239
0.8997400600000001	3.0097	0.7239
0.76757016	3.5781	0.7239
0.8374353399999999	3.3128	0.7239
0.69243134	4.0812	0.7239
0.75224924	3.4903	0.7235
0.8142986999999999	3.4907	0.7235
0.8269328	3.1608	0.7235
0.57350606	4.7843	0.7235
0.60146108	4.3646	0.7228
0.68664718	3.7986	0.7228
0.71708902	3.7541	0.7227
0.69714972	3.7575	0.7227
0.65691586	4.3043	0.7227
0.7218074000000001	3.6128	0.7227
0.59237958	4.4297	0.7227
0.6677736599999999	3.9478	0.7227
0.64818962	4.0131	0.7227
0.76747016	3.4186	0.7227
0.8395669	3.1107	0.7227
0.6311924	4.1289	0.7227
0.68771296	3.9167	0.7227
0.53773532	4.9769	0.7225
0.7076522599999999	3.6838	0.7225
0.72297318	3.8151	0.7219
0.77513062	3.3922	0.7219
0.6982155	3.9192	0.7219
0.70409966	3.8445	0.7219
0.74610982	3.5682	0.7219
0.8127776600000001	3.3804	0.68
0.7442335200000001	3.5312	0.68
0.73550728	3.6755	0.68
0.81206714	3.3732	0.68
0.7319546800000001	3.6609	0.68
0.71201538	3.6424	0.6798
0.86092724	3.1374	0.6798
0.78127004	3.5918	0.6798
0.77467536	3.4889	0.6798
0.6551395600000001	4.1298	0.6798
0.79096206	3.3298	0.6794
0.65585008	4.2244	0.6794
0.6019163399999999	4.4232	0.6794
