# WT DYNAMICS FOR DIFFERENT REPAIR MECHANISMS
# Q 2.5526
# s 0.637
# g 1.05
# k1 = [0.40 0.40]
# k2 = [0.09 0.14]
# k3 = [1000.00 0.32]
# t	P	D
21.1868	0.4894	0.4261	18.5373	0.8598	0.4161	.	.	.	.	.	.
21.4011	0.5352	0.4348	18.9605	0.9893	0.4593	.	.	.	.	.	.
21.7507	0.6131	0.4519	18.9964	1.0000	0.4634	.	.	.	.	.	.
22.1522	0.7062	0.4762	18.9964	1.0000	0.4634	.	.	.	.	.	.
22.6245	0.8173	0.5112	18.9964	0.5100	0.3449	.	.	.	.	.	.
23.1306	0.9324	0.5557	19.0363	0.5202	0.3466	.	.	.	.	.	.
23.4520	1.0000	0.5875	19.2148	0.5671	0.3548	.	.	.	.	.	.
23.4520	1.0000	0.5875	19.4937	0.6439	0.3702	.	.	.	.	.	.
23.4520	0.4760	0.4373	19.8127	0.7363	0.3917	.	.	.	.	.	.
23.4935	0.4845	0.4387	20.2042	0.8535	0.4240	.	.	.	.	.	.
23.7112	0.5301	0.4472	20.6312	0.9807	0.4670	.	.	.	.	.	.
24.0674	0.6077	0.4639	20.6981	1.0000	0.4745	.	.	.	.	.	.
24.4753	0.6997	0.4878	20.6981	1.0000	0.4745	.	.	.	.	.	.
24.9543	0.8090	0.5222	20.6981	0.5070	0.3532	.	.	.	.	.	.
25.4672	0.9217	0.5661	20.7382	0.5171	0.3548	.	.	.	.	.	.
25.8584	1.0000	0.6039	20.9185	0.5636	0.3630	.	.	.	.	.	.
25.8584	1.0000	0.6039	21.2006	0.6400	0.3782	.	.	.	.	.	.
25.8584	0.4715	0.4495	21.5228	0.7315	0.3996	.	.	.	.	.	.
25.9000	0.4799	0.4509	21.9177	0.8471	0.4317	.	.	.	.	.	.
26.1209	0.5252	0.4590	22.3486	0.9719	0.4746	.	.	.	.	.	.
26.4833	0.6023	0.4754	22.4492	1.0000	0.4857	.	.	.	.	.	.
26.8971	0.6934	0.4989	22.4492	1.0000	0.4857	.	.	.	.	.	.
27.3824	0.8010	0.5327	22.4492	0.5039	0.3615	.	.	.	.	.	.
27.9019	0.9113	0.5759	22.4893	0.5139	0.3631	.	.	.	.	.	.
28.3674	1.0000	0.6200	22.6715	0.5601	0.3712	.	.	.	.	.	.
28.3674	1.0000	0.6200	22.9568	0.6360	0.3863	.	.	.	.	.	.
28.3674	0.4671	0.4615	23.2822	0.7266	0.4075	.	.	.	.	.	.
28.4092	0.4754	0.4628	23.6808	0.8405	0.4395	.	.	.	.	.	.
28.6331	0.5204	0.4707	24.1159	0.9630	0.4822	.	.	.	.	.	.
29.0014	0.5971	0.4867	24.2533	1.0000	0.4973	.	.	.	.	.	.
29.4209	0.6872	0.5096	24.2533	1.0000	0.4973	.	.	.	.	.	.
29.9122	0.7930	0.5428	24.2533	0.5007	0.3702	.	.	.	.	.	.
30.4379	0.9011	0.5853	24.2935	0.5106	0.3717	.	.	.	.	.	.
30.9843	1.0000	0.6361	24.4775	0.5565	0.3797	.	.	.	.	.	.
30.9843	1.0000	0.6361	24.7660	0.6317	0.3947	.	.	.	.	.	.
30.9843	0.4627	0.4735	25.0948	0.7213	0.4158	.	.	.	.	.	.
31.0262	0.4708	0.4747	25.4972	0.8335	0.4476	.	.	.	.	.	.
31.2529	0.5155	0.4822	25.9366	0.9536	0.4900	.	.	.	.	.	.
31.6269	0.5918	0.4978	26.1162	1.0000	0.5097	.	.	.	.	.	.
32.0519	0.6808	0.5202	26.1162	1.0000	0.5097	.	.	.	.	.	.
32.5490	0.7849	0.5528	26.1162	0.4974	0.3794	.	.	.	.	.	.
33.0808	0.8907	0.5945	26.1565	0.5070	0.3809	.	.	.	.	.	.
33.6458	0.9891	0.6456	26.3423	0.5525	0.3887	.	.	.	.	.	.
