# DAUGHTER VS RLS BY REJUVENATION
# original file "wt_decCap_highRe_3gen.txt" 
# genT	cycleGrowth	rejuvenation
1.6846	1.5937	0.5873
1.6733	1.5967	0.5873
1.6837	1.5966	0.5873
1.6826	1.5926	0.5873
1.6477	1.5981	0.5873
1.7015	1.5982	0.5873
1.6702	1.5963	0.5873
1.6867	1.601	0.5873
1.6702	1.5993	0.5873
1.6711	1.5953	0.5873
1.6906	1.5948	0.5872
1.6955	1.6017	0.5872
1.6678	1.5947	0.5872
1.7036	1.6037	0.5872
1.6743	1.5998	0.5872
1.6831	1.5967	0.5872
1.6784	1.5948	0.5872
1.6845	1.5979	0.5872
1.6963	1.5972	0.5872
1.6957	1.596	0.5872
1.6844	1.5974	0.5872
1.6912	1.6004	0.5872
1.7064	1.5929	0.5872
1.6893	1.5995	0.5872
1.6644	1.5993	0.5872
1.7294	1.5967	0.5872
1.6805	1.595	0.5872
1.6995	1.5904	0.5872
1.6715	1.5958	0.5871
1.6843	1.5965	0.5871
1.7019	1.5953	0.5871
1.701	1.6004	0.5871
1.6637	1.5999	0.5871
1.6776	1.5935	0.5871
1.7149	1.6008	0.5871
1.7121	1.5935	0.5871
1.6683	1.6	0.5871
1.6711	1.5967	0.5871
1.6892	1.5966	0.5871
1.69	1.6007	0.5871
1.6904	1.599	0.5871
1.6752	1.5945	0.5871
1.6928	1.5948	0.5871
1.6785	1.5922	0.5871
1.6834	1.5957	0.5871
1.6719	1.6046	0.5865
1.6957	1.5998	0.5865
1.7071	1.6006	0.5865
1.6842	1.5943	0.5865
1.7033	1.5994	0.5865
1.677	1.6	0.5865
1.6715	1.6002	0.5865
1.6866	1.6	0.5865
1.6776	1.5919	0.5865
1.6604	1.5992	0.5865
1.6903	1.5963	0.5865
1.6701	1.596	0.5865
1.6648	1.5967	0.5865
1.6745	1.5928	0.5865
1.6802	1.593	0.544
1.6668	1.6005	0.544
1.6619	1.6024	0.544
1.6503	1.5992	0.544
1.6745	1.5957	0.544
1.6761	1.5963	0.544
1.6735	1.6015	0.544
1.7016	1.6021	0.544
1.7378	1.5953	0.544
1.6981	1.5936	0.544
1.6792	1.5943	0.544
1.6933	1.5975	0.544
1.7218	1.5958	0.544
1.6678	1.6033	0.544
1.6555	1.597	0.544
1.6714	1.5966	0.544
1.6682	1.5982	0.544
1.7098	1.5974	0.544
1.6599	1.5982	0.544
1.6826	1.5955	0.544
1.6686	1.5961	0.544
1.6905	1.598	0.544
1.6693	1.5959	0.544
1.6694	1.6025	0.544
1.6848	1.5975	0.544
1.702	1.5956	0.5438
1.7009	1.5978	0.5438
