# REJUVENATION FRACTION IN LINEAGE
# original file "wt_unlimCap_highRe_3gen_perturbed.txt" 
# mother	daughter	nCells	rej>0	rej>0.2	rej>0.5	rej>1
3.0	31.0	1.0	NaN	NaN	NaN	NaN
3.0	32.0	1.0	NaN	NaN	NaN	NaN
3.0	33.0	1.0	NaN	NaN	NaN	NaN
3.0	34.0	1.0	NaN	NaN	NaN	NaN
3.0	35.0	1.0	NaN	NaN	NaN	NaN
3.0	36.0	1.0	NaN	NaN	NaN	NaN
3.0	37.0	1.0	NaN	NaN	NaN	NaN
3.0	38.0	1.0	NaN	NaN	NaN	NaN
3.0	39.0	1.0	NaN	NaN	NaN	NaN
3.0	40.0	1.0	NaN	NaN	NaN	NaN
4.0	1.0	179.0	0.5977653631284916	0.1787709497206704	0.00558659217877095	0.0
4.0	2.0	179.0	0.5307262569832403	0.15083798882681565	0.0	0.0
4.0	3.0	179.0	0.5307262569832403	0.16759776536312848	0.0111731843575419	0.0
4.0	4.0	179.0	0.49162011173184356	0.13966480446927373	0.00558659217877095	0.0
4.0	5.0	179.0	0.441340782122905	0.12849162011173185	0.00558659217877095	0.0
4.0	6.0	179.0	0.4301675977653631	0.09497206703910614	0.00558659217877095	0.0
4.0	7.0	179.0	0.4245810055865922	0.09497206703910614	0.0	0.0
4.0	8.0	179.0	0.43575418994413406	0.11731843575418995	0.00558659217877095	0.0
4.0	9.0	179.0	0.4692737430167598	0.1005586592178771	0.00558659217877095	0.0
4.0	10.0	179.0	0.39664804469273746	0.10614525139664804	0.0	0.0
4.0	11.0	179.0	0.36312849162011174	0.09497206703910614	0.00558659217877095	0.0
4.0	12.0	179.0	0.4022346368715084	0.0782122905027933	0.0	0.0
4.0	13.0	179.0	0.3128491620111732	0.07262569832402235	0.00558659217877095	0.0
4.0	14.0	176.0	0.36363636363636365	0.06818181818181818	0.0	0.0
4.0	15.0	166.0	0.2710843373493976	0.03614457831325301	0.0	0.0
4.0	16.0	139.0	0.20863309352517986	0.04316546762589928	0.0	0.0
4.0	17.0	102.0	0.12745098039215685	0.0	0.0	0.0
4.0	18.0	65.0	0.06153846153846154	0.0	0.0	0.0
4.0	19.0	35.0	0.02857142857142857	0.0	0.0	0.0
4.0	20.0	23.0	0.043478260869565216	0.0	0.0	0.0
4.0	21.0	15.0	0.0	0.0	0.0	0.0
4.0	22.0	9.0	0.0	0.0	0.0	0.0
4.0	23.0	5.0	0.0	0.0	0.0	0.0
4.0	24.0	3.0	0.0	0.0	0.0	0.0
4.0	25.0	2.0	0.0	0.0	0.0	0.0
5.0	1.0	179.0	0.4972067039106145	0.15083798882681565	0.0	0.0
5.0	2.0	179.0	0.4692737430167598	0.13966480446927373	0.0111731843575419	0.0
5.0	3.0	179.0	0.4245810055865922	0.11731843575418995	0.0	0.0
5.0	4.0	179.0	0.39664804469273746	0.1340782122905028	0.00558659217877095	0.0
5.0	5.0	179.0	0.4245810055865922	0.11173184357541899	0.00558659217877095	0.0
5.0	6.0	179.0	0.4301675977653631	0.11731843575418995	0.0111731843575419	0.0
5.0	7.0	179.0	0.3743016759776536	0.0446927374301676	0.0	0.0
5.0	8.0	179.0	0.3407821229050279	0.11173184357541899	0.0	0.0
5.0	9.0	179.0	0.3687150837988827	0.0893854748603352	0.0	0.0
5.0	10.0	179.0	0.3463687150837989	0.1005586592178771	0.00558659217877095	0.0
5.0	11.0	179.0	0.35195530726256985	0.07262569832402235	0.0111731843575419	0.0
5.0	12.0	179.0	0.37988826815642457	0.055865921787709494	0.01675977653631285	0.0
5.0	13.0	178.0	0.28651685393258425	0.06741573033707865	0.0	0.0
5.0	14.0	176.0	0.21022727272727273	0.045454545454545456	0.0	0.0
5.0	15.0	169.0	0.2603550295857988	0.047337278106508875	0.0	0.0
5.0	16.0	150.0	0.12666666666666668	0.02	0.0	0.0
5.0	17.0	115.0	0.11304347826086956	0.008695652173913044	0.008695652173913044	0.0
5.0	18.0	78.0	0.0641025641025641	0.01282051282051282	0.0	0.0
5.0	19.0	50.0	0.04	0.0	0.0	0.0
5.0	20.0	28.0	0.03571428571428571	0.0	0.0	0.0
