# DAUGHTER VS RLS BY REJUVENATION
# original file "wt_decCap_noRe_3gen.txt" 
# initSize	totGrowth	rejuvenation
0.77805276	3.1893	1.4028
0.79592096	3.1115	1.4028
0.76605554	3.2059	1.4028
0.75176098	3.4433	1.4028
0.7880079	3.3847	1.402
0.7295533599999999	3.3838	1.402
0.76937392	3.184	1.402
0.77830802	3.4339	1.3507
0.70606944	3.4678	1.3507
0.80128142	3.0647	1.3507
0.78137114	3.1326	1.3501
0.80051564	3.2136	1.3501
0.76426872	3.2659	1.3501
0.76682132	3.245	1.3501
0.73134018	3.3816	1.3491
0.78698686	3.1672	1.3491
0.79668674	3.3645	1.3491
0.7489531199999999	3.3898	1.3489
0.7446136999999999	3.304	1.3449
0.78009484	3.2009	1.3449
0.71219568	3.5621	1.3449
0.8045998	3.3344	1.3449
0.7583977399999999	3.2893	1.3367
0.8109812999999999	3.05	1.3367
0.7535478	3.4171	1.3367
0.7236823800000001	3.4363	1.3367
0.76937392	3.1915	1.3367
0.74104006	3.3555	1.3367
0.78264744	3.2593	1.3367
0.7982183	3.1474	1.3318
0.7885184199999999	3.1179	1.3318
0.73134018	3.4512	1.3318
0.7106641199999999	3.5994	1.3318
0.73338226	3.4118	1.3318
0.7732028200000001	3.2583	1.3283
0.73363752	3.362	1.3283
0.78060536	3.1866	1.3283
0.7905605	3.2093	1.3283
0.7903052399999999	3.1901	1.3283
0.73644538	3.3757	1.3249
0.81327864	3.0545	1.3249
0.7282770599999999	3.63	1.3249
0.71117464	3.5584	1.3249
0.79617622	3.2954	1.3241
0.7777974999999999	3.2302	1.3241
0.78698686	3.2671	1.3241
0.7515057199999999	3.2533	1.2712
0.7213850399999999	3.7443	1.2712
0.72649024	3.5868	1.2698
0.74640052	3.2951	1.2698
0.8433993200000001	3.0486	1.2698
0.7267454999999999	3.4924	1.2698
0.7538030600000001	3.4231	1.2698
0.82017066	3.1168	1.2698
0.7484426	3.364	1.2696
0.76554502	3.1929	1.2696
0.77830802	3.1747	1.2658
0.69458274	3.7816	1.2658
0.78953946	3.3893	1.2658
0.7561004	3.3039	1.2658
0.78239218	3.1857	1.2658
0.6948380000000001	3.6058	1.2581
0.74793208	3.4391	1.2581
0.73542434	3.4398	1.2535
0.79770778	3.2142	1.2535
0.82604164	2.9996	1.2535
0.7576319599999999	3.2926	1.2502
0.76452398	3.2335	1.2502
0.78953946	3.1522	1.2502
0.7734580799999999	3.1646	1.2502
0.7512504600000001	3.3349	1.2469
0.7055589200000001	3.6962	1.2469
0.7885184199999999	3.1224	1.2469
0.80383402	3.2641	1.2469
0.79081576	3.1788	1.2469
0.73644538	3.3808	1.2462
0.7675871	3.3971	1.2462
0.7318507	3.43	1.2462
0.73006388	3.4487	1.1918
0.80051564	3.1891	1.1918
0.7864763399999999	3.1561	1.1918
0.73338226	3.5842	1.1913
0.75584514	3.3446	1.1913
0.7954104399999999	3.1294	1.1913
0.7612056	3.377	1.1913
0.7732028200000001	3.3395	1.1913
0.758653	3.3956	1.1904
0.78826316	3.2909	1.1904
0.76860814	3.2706	1.1904
0.74104006	3.3226	1.1904
0.77677646	3.2913	1.1904
0.7224060800000001	3.4299	1.1902
0.7295533599999999	3.3864	1.1902
0.7744791200000001	3.1783	1.1902
0.7775422399999999	3.1544	1.1902
0.76350294	3.3121	1.1902
0.76937392	3.25	1.1867
0.76350294	3.2001	1.1867
0.7688634	3.2135	1.1867
0.78494478	3.2629	1.1867
0.74920838	3.3285	1.1795
0.7854553	3.2794	1.1795
0.733127	3.4331	1.1795
0.7954104399999999	3.152	1.1795
0.76069508	3.3192	1.1751
0.75814248	3.2275	1.1751
0.7471663	3.6032	1.1751
0.7527820199999999	3.3399	1.172
0.76682132	3.3002	1.172
0.78979472	3.2253	1.172
0.83369944	3.0783	1.172
0.7612056	3.2783	1.172
0.74614526	3.4144	1.169
0.7280217999999999	3.4167	1.169
0.7765212	3.4516	1.169
0.81378916	3.0142	1.169
0.7816263999999999	3.3527	1.169
0.7476768199999999	3.4154	1.169
0.77550016	3.3914	1.1683
0.77294756	3.2236	1.1683
0.73108492	3.4245	1.1683
0.79464466	3.1304	1.1683
0.7596740399999999	3.4493	1.1683
0.7721817799999999	3.3658	1.1683
0.8288495	2.9853	1.1683
0.7938788800000001	3.2933	1.1683
0.80817344	3.1745	1.1683
0.7170456199999999	3.4529	1.1123
0.7596740399999999	3.3294	1.1123
0.7469110400000001	3.3213	1.1123
0.74818734	3.435	1.1123
0.7777974999999999	3.2497	1.1123
0.80613136	3.136	1.1123
0.81404442	3.0891	1.1123
0.7548241	3.2825	1.1119
0.75814248	3.3031	1.1119
0.77728698	3.204	1.1119
0.7563556599999999	3.3693	1.1119
0.74512422	3.3781	1.1119
0.75712144	3.2651	1.1119
0.79489992	3.1252	1.1111
0.7382321999999999	3.4343	1.1111
0.79107102	3.1761	1.1111
0.73848746	3.3913	1.1111
0.77550016	3.2686	1.1111
0.78443426	3.3705	1.1111
0.76069508	3.3233	1.1111
0.73210596	3.659	1.1111
0.7709054799999999	3.2779	1.1111
0.70709048	3.4984	1.1109
0.77243704	3.2741	1.1109
0.74793208	3.3679	1.1109
0.77601068	3.453	1.1109
0.7864763399999999	3.441	1.1109
