# DAUGHTER VS RLS BY REJUVENATION
# original file "wt_decCap_highRe_3gen_perturbed.txt" 
# genT	cycleGrowth	rejuvenation
1.6246	1.6113	0.3374
1.6424	1.6096	0.3374
1.6876	1.6035	0.3374
1.6653	1.6087	0.3374
1.6549	1.6177	0.3374
1.6701	1.6054	0.3374
1.669	1.6032	0.3374
1.6457	1.6099	0.3374
1.7008	1.6085	0.3374
1.6287	1.6096	0.3374
1.7113	1.6139	0.3374
1.7186	1.6153	0.3374
1.6505	1.6083	0.3374
1.7121	1.6088	0.3374
1.6791	1.6187	0.3374
1.6827	1.6108	0.3374
1.6675	1.6077	0.3374
1.7038	1.6218	0.3374
1.7067	1.6089	0.3374
1.6209	1.6142	0.3374
1.636	1.6068	0.3374
1.6347	1.6138	0.3374
1.7092	1.6132	0.3374
1.6734	1.6092	0.3374
1.6747	1.6145	0.3374
1.7082	1.6126	0.3374
1.7013	1.603	0.3374
1.6465	1.6105	0.3374
1.6526	1.6071	0.3374
1.6789	1.5975	0.3374
1.6867	1.6065	0.3374
1.6719	1.6127	0.3374
1.7165	1.6146	0.3374
1.6863	1.6176	0.3374
1.682	1.614	0.3374
1.6619	1.6152	0.3374
1.6692	1.6039	0.3374
1.6497	1.6108	0.3374
1.6677	1.6095	0.3374
1.6493	1.608	0.3374
1.7032	1.6144	0.3374
1.6905	1.6164	0.3374
1.7116	1.6145	0.3374
1.6553	1.608	0.3374
1.6428	1.6079	0.3374
1.656	1.6064	0.3373
1.6366	1.6073	0.3373
1.6327	1.6081	0.3373
1.6964	1.6099	0.3373
1.659	1.613	0.3373
1.6593	1.6077	0.3373
1.6296	1.6145	0.3373
1.6528	1.6097	0.3373
1.6748	1.6108	0.3373
1.6986	1.6105	0.3373
1.7182	1.6096	0.3373
1.6848	1.6081	0.3373
1.6863	1.6083	0.3373
1.681	1.6181	0.3373
1.652	1.6107	0.3373
1.6959	1.6099	0.3373
1.6733	1.6087	0.3373
1.6799	1.6173	0.3373
1.6136	1.6121	0.3373
1.6787	1.6146	0.3373
1.6555	1.6054	0.3373
1.6343	1.612	0.3373
1.6405	1.6096	0.3373
1.669	1.6119	0.3373
1.6952	1.6108	0.3373
1.6845	1.6157	0.3373
1.6799	1.6123	0.3373
1.6657	1.6091	0.3373
1.687	1.6104	0.3373
1.6681	1.6127	0.3373
1.661	1.6082	0.3373
1.6725	1.6133	0.3373
1.6613	1.6057	0.3373
1.6778	1.6125	0.3373
1.6444	1.6121	0.3373
1.6703	1.6136	0.3373
1.6591	1.6115	0.3373
1.7093	1.6144	0.3373
1.6697	1.6087	0.3373
1.6813	1.6085	0.3373
1.6712	1.6126	0.3373
1.714	1.6118	0.3373
1.6837	1.6038	0.3373
1.6685	1.605	0.3373
1.6508	1.6059	0.3373
1.685	1.6108	0.3373
1.66	1.6039	0.3373
1.7119	1.6118	0.3373
1.6443	1.6114	0.3373
1.7053	1.6077	0.3373
1.7045	1.6101	0.3373
1.709	1.6108	0.3373
1.6535	1.6153	0.3373
1.6961	1.6187	0.3373
1.6589	1.6066	0.3373
1.6465	1.6157	0.3373
1.6882	1.6078	0.3373
1.6945	1.6064	0.3373
1.6487	1.6089	0.3373
1.6555	1.6076	0.3373
1.6836	1.6143	0.3373
1.6892	1.6125	0.3373
1.6732	1.6134	0.3373
1.7276	1.6081	0.3371
1.6389	1.6095	0.3371
1.662	1.6114	0.3371
1.667	1.6051	0.3371
1.6931	1.6052	0.3371
1.6589	1.6052	0.3371
1.6267	1.612	0.3371
1.677	1.6173	0.3371
1.667	1.6166	0.3371
1.6911	1.6109	0.3371
1.7107	1.6115	0.3371
1.6999	1.6028	0.3371
1.7148	1.6104	0.3371
1.7023	1.6116	0.3371
1.6791	1.6087	0.3371
1.7012	1.6118	0.3371
1.707	1.6101	0.3371
1.6835	1.6196	0.3371
1.6233	1.6121	0.3371
1.6913	1.6209	0.3371
1.649	1.6086	0.3371
1.6971	1.6102	0.3371
1.6771	1.6042	0.3371
1.68	1.6181	0.3371
1.6708	1.6097	0.3371
1.6786	1.6103	0.3371
1.688	1.6108	0.3371
1.6681	1.6114	0.3371
1.6713	1.6079	0.3371
1.6964	1.6158	0.3371
1.6779	1.6075	0.3371
1.6697	1.6044	0.3371
1.6702	1.6191	0.3371
1.6316	1.6127	0.3371
1.6353	1.6116	0.3371
1.6488	1.6094	0.3371
1.6935	1.6103	0.3371
1.6366	1.6068	0.3371
1.6623	1.6194	0.3371
1.7077	1.6145	0.3371
1.6902	1.6181	0.3371
1.7033	1.6116	0.3371
1.6735	1.6105	0.3371
1.6657	1.6094	0.3371
1.7041	1.6015	0.3371
1.6571	1.6137	0.3371
1.648	1.6066	0.3371
