# RLS IN LINEAGE
# original file "wt_decCap_noRe_3gen.txt" 
# mother	daughter	rlsMean	rlsStd
2.0	22.0	9.294117647058824	3.3683212785145833
2.0	23.0	10.642857142857142	4.924149951743219
2.0	24.0	9.0	4.0
2.0	25.0	9.5	3.92286743197994
2.0	26.0	7.777777777777778	2.7738861628488727
2.0	27.0	10.8	3.7013511046643495
2.0	28.0	8.8	3.8987177379235853
2.0	29.0	9.4	3.5777087639996634
2.0	30.0	11.75	2.753785273643051
2.0	31.0	9.5	2.3804761428476167
2.0	32.0	9.0	6.782329983125268
2.0	33.0	6.666666666666667	2.0816659994661326
2.0	34.0	7.0	7.810249675906654
2.0	35.0	NaN	NaN
2.0	36.0	NaN	NaN
2.0	37.0	NaN	NaN
2.0	38.0	NaN	NaN
2.0	39.0	NaN	NaN
2.0	40.0	NaN	NaN
2.0	41.0	NaN	NaN
2.0	42.0	NaN	NaN
2.0	43.0	NaN	NaN
2.0	44.0	NaN	NaN
2.0	45.0	NaN	NaN
3.0	1.0	17.292857142857144	4.6665755142079
3.0	2.0	17.135714285714286	4.79239612690818
3.0	3.0	16.223021582733814	5.090547030010449
3.0	4.0	16.66187050359712	4.763316888493838
3.0	5.0	15.863309352517986	5.754898907243554
3.0	6.0	15.372262773722628	4.662124136040783
3.0	7.0	14.642335766423358	4.668003141345174
3.0	8.0	13.444444444444445	4.8386914887584105
3.0	9.0	13.295454545454545	5.211172138683082
3.0	10.0	12.421875	4.867713613881948
3.0	11.0	11.201612903225806	4.535281453801738
3.0	12.0	11.17117117117117	5.045022522472249
3.0	13.0	9.72549019607843	4.11747510526502
3.0	14.0	9.808988764044944	5.387013855928275
3.0	15.0	9.161764705882353	5.059674622650546
3.0	16.0	9.418181818181818	4.507980204247299
3.0	17.0	9.813953488372093	4.505318623865249
3.0	18.0	9.272727272727273	4.102382899553071
3.0	19.0	11.0	5.493078648943437
3.0	20.0	10.9	4.399760759046122
3.0	21.0	10.38888888888889	4.4210577505826505
3.0	22.0	9.333333333333334	3.4982989063393712
3.0	23.0	10.785714285714286	3.6411868612090976
3.0	24.0	8.0	3.7416573867739413
3.0	25.0	7.9	3.3482997343593826
3.0	26.0	6.125	3.440826312717007
3.0	27.0	6.75	1.5
3.0	28.0	5.5	2.516611478423583
