# DAUGHTER VS D BY REJUVENATION
# original file "wt_unlimCap_highRe_3gen.txt" 
# daughter	initD	rejuvenation
5.0	0.1078	0.9525
3.0	0.0967	0.9525
7.0	0.1304	0.9525
4.0	0.0959	0.9525
8.0	0.1267	0.9525
16.0	0.1704	0.9525
25.0	0.1791	0.9525
14.0	0.1713	0.9525
3.0	0.0944	0.9525
8.0	0.1332	0.952
14.0	0.1551	0.952
12.0	0.1621	0.952
4.0	0.094	0.952
14.0	0.1594	0.952
2.0	0.0851	0.952
5.0	0.1123	0.9495
15.0	0.1697	0.9495
18.0	0.189	0.9495
6.0	0.1143	0.9495
7.0	0.1311	0.9495
11.0	0.1528	0.909
13.0	0.1527	0.909
2.0	0.0845	0.909
16.0	0.1593	0.909
11.0	0.1447	0.909
4.0	0.1075	0.909
4.0	0.1102	0.909
19.0	0.2046	0.909
11.0	0.1457	0.909
14.0	0.1569	0.909
5.0	0.1111	0.909
13.0	0.1616	0.9087
1.0	0.0529	0.9087
7.0	0.1225	0.9087
14.0	0.164	0.9087
10.0	0.1442	0.9087
11.0	0.1434	0.9087
2.0	0.088	0.9081
5.0	0.1117	0.9081
7.0	0.1309	0.9081
12.0	0.1524	0.9078
8.0	0.1305	0.9078
17.0	0.1706	0.9078
10.0	0.1489	0.9076
5.0	0.1135	0.9076
7.0	0.1371	0.9076
9.0	0.1382	0.9076
7.0	0.1308	0.9076
8.0	0.1279	0.9076
1.0	0.0695	0.9076
17.0	0.1854	0.9076
8.0	0.1329	0.9076
1.0	0.0691	0.9076
15.0	0.1665	0.9076
6.0	0.118	0.9075
5.0	0.1138	0.9075
1.0	0.0581	0.9075
1.0	0.0748	0.9075
6.0	0.1231	0.9075
5.0	0.1142	0.9075
11.0	0.1531	0.9075
9.0	0.1345	0.9075
16.0	0.1827	0.9075
2.0	0.0865	0.9073
9.0	0.1404	0.9073
11.0	0.144	0.9073
1.0	0.0755	0.9073
3.0	0.0979	0.9073
6.0	0.1239	0.9073
27.0	0.1971	0.9073
18.0	0.1607	0.9073
1.0	0.0636	0.9072
12.0	0.1576	0.9072
11.0	0.1461	0.9072
1.0	0.0632	0.9072
10.0	0.1518	0.9067
4.0	0.101	0.9067
14.0	0.1665	0.9067
9.0	0.1378	0.9067
21.0	0.1816	0.9067
3.0	0.0981	0.9067
4.0	0.0989	0.9043
12.0	0.1621	0.9043
2.0	0.0705	0.9043
10.0	0.1521	0.9043
2.0	0.0855	0.9043
2.0	0.0803	0.9043
1.0	0.0575	0.9043
8.0	0.1346	0.8636
8.0	0.1338	0.8636
9.0	0.1367	0.8636
11.0	0.1412	0.8636
2.0	0.0846	0.8636
1.0	0.0677	0.8636
5.0	0.1141	0.8636
5.0	0.1088	0.8636
5.0	0.1191	0.8636
13.0	0.1507	0.8636
3.0	0.0913	0.8636
9.0	0.1371	0.8636
5.0	0.1152	0.8636
2.0	0.0807	0.8636
5.0	0.1123	0.8633
1.0	0.0716	0.8633
